GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,ACS_Population,White,Black,AIAN,Hispanic,ASIAN,Other,Percent_ACS_Population,Percent_White,Percent_Black,Percent_AIAN,Percent_Hispanic,Percent_Asian,Other_Percent
35001004602,Bernalillo,Isleta Gun Club,0.18,3,102,"4,457",0.02288535,4154,1179,60,21,2863,31,0,31.08,28.38,1.44,0.51,68.92,0.75,0
35001004603,Bernalillo,,0.18,3,147,"3,694",0.03979426,4130,507,37,280,3254,12,40,21.21,12.28,0.9,6.78,78.79,0.29,0.97
35001004604,Bernalillo,Isleta Gun Club,0.21,4,165,"5,679",0.02905441,5597,1198,56,64,4211,68,0,24.76,21.4,1,1.14,75.24,1.21,0
35001004712,Bernalillo,So. Ninetyeight,0.2,4,307,"7,425",0.0413468,6633,657,96,178,5684,18,0,14.31,9.91,1.45,2.68,85.69,0.27,0
35001004713,Bernalillo,Chavez OneEighteenth,0.12,3,294,"7,112",0.04133858,6666,610,170,121,5674,6,85,14.88,9.15,2.55,1.82,85.12,0.09,1.28
35001004715,Bernalillo,Chavez OneEighteenth,0.26,4,165,"5,409",0.03050471,4985,701,28,60,4150,0,46,16.75,14.06,0.56,1.2,83.25,0,0.92
35001004716,Bernalillo,Alameda Coors,0.16,3,22,"2,090",0.01052632,1968,803,29,162,882,41,51,55.18,40.8,1.47,8.23,44.82,2.08,2.59
35001004717,Bernalillo,Alameda Coors,0.17,3,111,"7,831",0.01417444,7987,2468,318,664,4139,199,199,48.18,30.9,3.98,8.31,51.82,2.49,2.49
35001004720,Bernalillo,Irving Unser,0.15,3,65,"3,575",0.01818182,3733,1953,49,25,1442,145,119,61.37,52.32,1.31,0.67,38.63,3.88,3.19
35001004722,Bernalillo,Del Norte,0.16,3,68,"5,183",0.01311982,4814,2057,39,629,1907,178,4,60.39,42.73,0.81,13.07,39.61,3.7,0.08
35001004723,Bernalillo,Del Norte,0.03,1,115,"7,416",0.01550701,6869,3151,98,16,3099,344,161,54.88,45.87,1.43,0.23,45.12,5.01,2.34
35001004724,Bernalillo,Del Norte,0.04,1,46,"3,245",0.01417566,3203,1505,44,30,1479,105,40,53.82,46.99,1.37,0.94,46.18,3.28,1.25
35001004725,Bernalillo,Del Norte,0.08,2,43,"3,776",0.01138771,4260,1608,0,16,2564,6,66,39.81,37.75,0,0.38,60.19,0.14,1.55
35001004726,Bernalillo,Montano Coors,0.16,3,37,"2,526",0.01464766,2324,860,102,55,1290,0,17,44.49,37.01,4.39,2.37,55.51,0,0.73
35001004727,Bernalillo,Montano Coors,0.09,2,36,"1,930",0.01865285,1844,825,50,14,933,22,0,49.4,44.74,2.71,0.76,50.6,1.19,0
35001004728,Bernalillo,Montano Coors,0.05,1,90,"5,201",0.01730437,5423,2504,102,35,2525,146,111,53.44,46.17,1.88,0.65,46.56,2.69,2.04
35001004729,Bernalillo,Montano Coors,0.18,3,68,"3,684",0.0184582,3789,1576,313,133,1664,22,81,56.08,41.59,8.26,3.51,43.92,0.58,2.14
35001004733,Bernalillo,Arenal Unser,0.25,4,305,"7,475",0.04080268,7459,813,0,130,6504,0,12,12.8,10.9,0,1.74,87.2,0,0.16
35001004734,Bernalillo,Arenal Unser,0.24,4,328,"7,566",0.04335184,7548,203,26,142,6955,53,169,7.86,2.69,0.34,1.88,92.14,0.7,2.24
35001004735,Bernalillo,,0.19,3,137,"2,363",0.05797715,2167,75,26,31,2028,7,0,6.41,3.46,1.2,1.43,93.59,0.32,0
35001004736,Bernalillo,Chavez OneEighteenth,0.34,5,91,"1,160",0.07844828,1529,23,0,61,1445,0,0,5.49,1.5,0,3.99,94.51,0,0
35001004737,Bernalillo,Chavez OneEighteenth,0.15,3,318,"6,270",0.0507177,7285,886,305,253,5669,23,149,22.18,12.16,4.19,3.47,77.82,0.32,2.05
